"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_modules_path",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:01 UTC 2026","494","tests.unit.cli","test_sawectl_validate","TestSawectlValidate","","","test_validate_workflow",""
"passed","Fri May 29 02:19:59 UTC 2026","Fri May 29 02:19:59 UTC 2026","504","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_prompt",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","1","tests.unit.engine","test_paths","TestPaths","","","test_logs_path",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","3","tests.unit.engine","test_customer_id","TestCustomerID","","","test_customer_id_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_symlink_modules","TestModuleSymlink","","","test_modules_symlink",""
"failed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_workflow_log_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_workflows_path",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_modules_path",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_logs_path",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_modules_directory_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_workflows_path",""
"passed","Fri May 29 02:19:59 UTC 2026","Fri May 29 02:20:00 UTC 2026","499","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_help",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","494","tests.unit.cli","test_sawectl_init","TestSawectlInit","","","test_init_module",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","1","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_valid_yaml",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_logger_module_exists",""
"failed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_flask_log_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_webform_directory_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_module_yaml_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_logs_directory_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_asset_script_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_command_module_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_config_exists",""
"passed","Fri May 29 02:20:00 UTC 2026","Fri May 29 02:20:00 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_config_loads",""
