"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_logs_path",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_webform_directory_exists",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","4","tests.unit.engine","test_config","TestEngineConfig","","","test_config_loads",""
"passed","Mon Jun 01 02:45:08 UTC 2026","Mon Jun 01 02:45:08 UTC 2026","5","tests.integration.engine","test_webform_port_9000","TestWebformAssets","","","test_webform_bundle",""
"passed","Mon Jun 01 02:45:09 UTC 2026","Mon Jun 01 02:45:09 UTC 2026","505","tests.integration.cli","test_cli_engine_connection","TestCLIEngineConnection","","","test_cli_runs_workflow",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","1","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_valid_yaml",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_workflow_log_exists",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","1","tests.unit.engine","test_modules","TestModules","","","test_logger_module_exists",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","3","tests.unit.engine","test_customer_id","TestCustomerID","","","test_customer_id_exists",""
"passed","Mon Jun 01 02:44:31 UTC 2026","Mon Jun 01 02:44:31 UTC 2026","489","tests.unit.cli","test_sawectl_validate","TestSawectlValidate","","","test_validate_workflow",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_flask_log_exists",""
"passed","Mon Jun 01 02:44:30 UTC 2026","Mon Jun 01 02:44:30 UTC 2026","485","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_help",""
"passed","Mon Jun 01 02:45:08 UTC 2026","Mon Jun 01 02:45:08 UTC 2026","4","tests.integration.engine","test_engine_api","TestEngineAPI","","","test_api_root",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_modules_path",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_config_exists",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_workflows_path",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","1","tests.unit.engine","test_modules","TestModules","","","test_command_module_exists",""
"failed","Mon Jun 01 02:45:10 UTC 2026","Mon Jun 01 02:45:11 UTC 2026","488","tests.e2e","test_logger_end_to_end","TestLoggerE2E","","","test_logger_flow",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_modules_path",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_asset_script_exists",""
"passed","Mon Jun 01 02:45:09 UTC 2026","Mon Jun 01 02:45:10 UTC 2026","495","tests.integration.cli","test_cli_workflow_execution","TestCLIWorkflowExecution","","","test_cli_executes_workflow",""
"broken","Mon Jun 01 02:45:11 UTC 2026","Mon Jun 01 02:45:12 UTC 2026","321","tests.e2e","test_webform_ui","TestWebformUI","","","test_webform_loads",""
"passed","Mon Jun 01 02:45:11 UTC 2026","Mon Jun 01 02:45:11 UTC 2026","5","tests.e2e","test_operator_workflow","TestOperatorWorkflow","","","test_workflow_execution",""
"failed","Mon Jun 01 02:45:10 UTC 2026","Mon Jun 01 02:45:10 UTC 2026","3","tests.e2e","test_full_platform_flow","TestFullPlatformFlow","","","test_system_health",""
"passed","Mon Jun 01 02:45:10 UTC 2026","Mon Jun 01 02:45:10 UTC 2026","7","tests.integration.cli","test_ttyd_is_running","TestTtydIsRunning","","","test_ttyd_is_running",""
"passed","Mon Jun 01 02:44:29 UTC 2026","Mon Jun 01 02:44:30 UTC 2026","491","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_version",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_modules_directory_exists",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","1","tests.unit.engine","test_modules","TestModules","","","test_module_yaml_exists",""
"passed","Mon Jun 01 02:45:08 UTC 2026","Mon Jun 01 02:45:08 UTC 2026","4","tests.integration.engine","test_logs_runtime","TestLogsRuntime","","","test_logs_written",""
"passed","Mon Jun 01 02:44:33 UTC 2026","Mon Jun 01 02:44:33 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_logs_directory_exists",""
