"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 02:15:56 UTC 2026","Mon Jun 01 02:15:56 UTC 2026","535","tests.integration.cli","test_cli_engine_connection","TestCLIEngineConnection","","","test_cli_runs_workflow",""
"passed","Mon Jun 01 02:15:57 UTC 2026","Mon Jun 01 02:15:57 UTC 2026","7","tests.integration.cli","test_ttyd_is_running","TestTtydIsRunning","","","test_ttyd_is_running",""
"passed","Mon Jun 01 02:15:14 UTC 2026","Mon Jun 01 02:15:15 UTC 2026","521","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_version",""
"failed","Mon Jun 01 02:15:56 UTC 2026","Mon Jun 01 02:15:57 UTC 2026","540","tests.integration.cli","test_cli_workflow_execution","TestCLIWorkflowExecution","","","test_cli_executes_workflow",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_command_module_exists",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","1","tests.unit.engine","test_logging","TestLogging","","","test_flask_log_exists",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","1","tests.unit.engine","test_modules","TestModules","","","test_modules_directory_exists",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","1","tests.unit.engine","test_logging","TestLogging","","","test_workflow_log_exists",""
"passed","Mon Jun 01 02:15:55 UTC 2026","Mon Jun 01 02:15:55 UTC 2026","5","tests.integration.engine","test_workflow_execution","TestWorkflowExecution","","","test_trigger_workflow",""
"failed","Mon Jun 01 02:15:57 UTC 2026","Mon Jun 01 02:15:57 UTC 2026","526","tests.integration.cli","test_sawectl_validate_workflow","TestSawectlWorkflowValidation","","","test_validate_logger_workflow",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_modules_path",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_webform_directory_exists",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_modules_path",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_logger_module_exists",""
"passed","Mon Jun 01 02:15:19 UTC 2026","Mon Jun 01 02:15:19 UTC 2026","0","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_exists",""
