"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 02 03:46:06 UTC 2026","Tue Jun 02 03:46:06 UTC 2026","7","tests.integration.cli","test_ttyd_is_running","TestTtydIsRunning","","","test_ttyd_is_running",""
"passed","Tue Jun 02 03:43:45 UTC 2026","Tue Jun 02 03:43:46 UTC 2026","538","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_help",""
"passed","Tue Jun 02 03:46:06 UTC 2026","Tue Jun 02 03:46:06 UTC 2026","5","tests.e2e","test_operator_workflow","TestOperatorWorkflow","","","test_workflow_execution",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","1","tests.unit.engine","test_modules","TestModules","","","test_module_yaml_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_symlink_modules","TestModuleSymlink","","","test_modules_symlink",""
"passed","Tue Jun 02 03:43:46 UTC 2026","Tue Jun 02 03:43:47 UTC 2026","536","tests.unit.cli","test_sawectl_validate","TestSawectlValidate","","","test_validate_workflow",""
"passed","Tue Jun 02 03:46:05 UTC 2026","Tue Jun 02 03:46:05 UTC 2026","527","tests.integration.cli","test_cli_workflow_execution","TestCLIWorkflowExecution","","","test_cli_executes_workflow",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","4","tests.unit.engine","test_config","TestEngineConfig","","","test_config_loads",""
"passed","Tue Jun 02 03:46:04 UTC 2026","Tue Jun 02 03:46:04 UTC 2026","3","tests.integration.engine","test_engine_api","TestEngineAPI","","","test_api_root",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_logs_path",""
"passed","Tue Jun 02 03:46:04 UTC 2026","Tue Jun 02 03:46:04 UTC 2026","5","tests.integration.engine","test_logs_runtime","TestLogsRuntime","","","test_logs_written",""
"passed","Tue Jun 02 03:46:06 UTC 2026","Tue Jun 02 03:46:06 UTC 2026","9","tests.e2e","test_full_platform_flow","TestFullPlatformFlow","","","test_system_health",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_workflows_path",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","4","tests.unit.engine","test_config","TestEngineConfig","","","test_modules_path",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_logs_path",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_config_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","3","tests.unit.engine","test_customer_id","TestCustomerID","","","test_customer_id_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_logs_directory_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_webform_directory_exists",""
"passed","Tue Jun 02 03:43:46 UTC 2026","Tue Jun 02 03:43:46 UTC 2026","537","tests.unit.cli","test_sawectl_init","TestSawectlInit","","","test_init_module",""
"passed","Tue Jun 02 03:43:44 UTC 2026","Tue Jun 02 03:43:45 UTC 2026","539","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_prompt",""
"passed","Tue Jun 02 03:46:04 UTC 2026","Tue Jun 02 03:46:05 UTC 2026","522","tests.integration.cli","test_cli_engine_connection","TestCLIEngineConnection","","","test_cli_runs_workflow",""
"passed","Tue Jun 02 03:46:04 UTC 2026","Tue Jun 02 03:46:04 UTC 2026","6","tests.integration.engine","test_webform_port_9000","TestWebformAssets","","","test_webform_bundle",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_flask_log_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_workflows_path",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_command_module_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_workflow_log_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_modules_directory_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_modules_path",""
"passed","Tue Jun 02 03:46:07 UTC 2026","Tue Jun 02 03:46:07 UTC 2026","505","tests.e2e","test_webform_ui","TestWebformUI","","","test_webform_loads",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","1","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_valid_yaml",""
"passed","Tue Jun 02 03:46:04 UTC 2026","Tue Jun 02 03:46:04 UTC 2026","4","tests.integration.engine","test_workflow_execution","TestWorkflowExecution","","","test_trigger_workflow",""
"passed","Tue Jun 02 03:46:06 UTC 2026","Tue Jun 02 03:46:07 UTC 2026","858","tests.e2e","test_ttyd_browser_flow","TestTTYDBrowserFlow","","","test_terminal_load",""
"passed","Tue Jun 02 03:46:05 UTC 2026","Tue Jun 02 03:46:06 UTC 2026","504","tests.integration.cli","test_sawectl_validate_workflow","TestSawectlWorkflowValidation","","","test_validate_logger_workflow",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_asset_script_exists",""
"passed","Tue Jun 02 03:43:56 UTC 2026","Tue Jun 02 03:43:56 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_logger_module_exists",""
"passed","Tue Jun 02 03:46:04 UTC 2026","Tue Jun 02 03:46:04 UTC 2026","3","tests.integration.engine","test_engine_health","TestEngineHealth","","","test_health",""
"passed","Tue Jun 02 03:43:45 UTC 2026","Tue Jun 02 03:43:45 UTC 2026","553","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_version",""
