"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 01:34:44 UTC 2026","Mon Jun 01 01:34:44 UTC 2026","6","tests.integration.engine","test_webform_port_9000","TestWebformAssets","","","test_webform_bundle",""
"failed","Mon Jun 01 01:34:44 UTC 2026","Mon Jun 01 01:34:45 UTC 2026","539","tests.integration.cli","test_cli_engine_connection","TestCLIEngineConnection","","","test_cli_runs_workflow",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_workflows_path",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","3","tests.unit.engine","test_customer_id","TestCustomerID","","","test_customer_id_exists",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","505","tests.unit.cli","test_sawectl_validate","TestSawectlValidate","","","test_validate_workflow",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_logs_path",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_module_yaml_exists",""
"passed","Mon Jun 01 01:34:00 UTC 2026","Mon Jun 01 01:34:00 UTC 2026","514","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_prompt",""
"passed","Mon Jun 01 01:34:44 UTC 2026","Mon Jun 01 01:34:44 UTC 2026","5","tests.integration.engine","test_logs_runtime","TestLogsRuntime","","","test_logs_written",""
"passed","Mon Jun 01 01:34:01 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","497","tests.unit.cli","test_sawectl_init","TestSawectlInit","","","test_init_module",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_modules_path",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_workflow_log_exists",""
"passed","Mon Jun 01 01:34:44 UTC 2026","Mon Jun 01 01:34:44 UTC 2026","4","tests.integration.engine","test_engine_api","TestEngineAPI","","","test_api_root",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","4","tests.unit.engine","test_config","TestEngineConfig","","","test_config_loads",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","1","tests.unit.engine","test_logging","TestLogging","","","test_logs_directory_exists",""
"passed","Mon Jun 01 01:34:01 UTC 2026","Mon Jun 01 01:34:01 UTC 2026","501","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_help",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_exists",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_symlink_modules","TestModuleSymlink","","","test_modules_symlink",""
"failed","Mon Jun 01 01:34:45 UTC 2026","Mon Jun 01 01:34:46 UTC 2026","576","tests.integration.cli","test_cli_workflow_execution","TestCLIWorkflowExecution","","","test_cli_executes_workflow",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_modules_directory_exists",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_command_module_exists",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_config_exists",""
"passed","Mon Jun 01 01:34:44 UTC 2026","Mon Jun 01 01:34:44 UTC 2026","3","tests.integration.engine","test_engine_health","TestEngineHealth","","","test_health",""
"passed","Mon Jun 01 01:34:44 UTC 2026","Mon Jun 01 01:34:44 UTC 2026","5","tests.integration.engine","test_workflow_execution","TestWorkflowExecution","","","test_trigger_workflow",""
"passed","Mon Jun 01 01:34:46 UTC 2026","Mon Jun 01 01:34:46 UTC 2026","8","tests.integration.cli","test_ttyd_is_running","TestTtydIsRunning","","","test_ttyd_is_running",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_modules_path",""
"passed","Mon Jun 01 01:34:02 UTC 2026","Mon Jun 01 01:34:02 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_webform_directory_exists",""
